"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Автотесты для API","","0","0","1","0","0"
"","Автотесты для API","Раздел игр","0","0","2","0","0"
"","Автотесты для UI","Корзина","0","0","2","0","0"
"","Автотесты для UI","Раздел игр","0","0","3","0","0"
"","Автотесты для Mobile","Раздел игр","0","1","0","0","0"
"","Автотесты для UI","Интеграция с другими сервисами","0","0","2","0","0"
"","Автотесты для UI","Авторизация на сайте","0","0","1","0","0"
"","Автотесты для Mobile","Авторизация в приложении","0","1","0","0","0"
"","Автотесты для Mobile","Корзина","0","2","0","0","0"
"","Автотесты для API","Корзина","0","0","1","0","0"
"","Автотесты для API","Ограничение доступа","0","0","1","0","0"
