"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 29 06:13:56 GMT 2023","Mon May 29 06:14:00 GMT 2023","3996","","tests.api.SteamApiTest","","tests.api.SteamApiTest","checkingGameNews","Проверка новостей по игре",""
"passed","Mon May 29 06:14:01 GMT 2023","Mon May 29 06:14:01 GMT 2023","211","","tests.api.SteamApiTest","","tests.api.SteamApiTest","searchJobApi","Проверка поиска игр",""
"passed","Mon May 29 06:15:00 GMT 2023","Mon May 29 06:15:20 GMT 2023","20434","","tests.ui.SteamUiTest","","tests.ui.SteamUiTest","potentialBuyGames","Добавление игры в корзину",""
"passed","Mon May 29 06:16:00 GMT 2023","Mon May 29 06:16:18 GMT 2023","17685","","tests.ui.SteamUiTest","","tests.ui.SteamUiTest","searchJob","Кнопка поиска игр",""
"broken","Mon May 29 06:14:03 GMT 2023","Mon May 29 06:14:03 GMT 2023","30","","tests.mobile.SteamMobileTest","","tests.mobile.SteamMobileTest","searchGames","Кнопка поиска игр",""
"passed","Mon May 29 06:14:42 GMT 2023","Mon May 29 06:15:00 GMT 2023","17994","","tests.ui.SteamUiTest","","tests.ui.SteamUiTest","jobsInSteam","Работы в Steam",""
"passed","Mon May 29 06:14:04 GMT 2023","Mon May 29 06:14:26 GMT 2023","22119","","tests.ui.SteamUiTest","","tests.ui.SteamUiTest","authorization","Авторизация на сайте",""
"passed","Mon May 29 06:15:20 GMT 2023","Mon May 29 06:15:41 GMT 2023","20303","","tests.ui.SteamUiTest","","tests.ui.SteamUiTest","deleteGameCart","Удалить игру из корзины",""
"broken","Mon May 29 06:14:02 GMT 2023","Mon May 29 06:14:03 GMT 2023","1456","","tests.mobile.SteamMobileTest","","tests.mobile.SteamMobileTest","openApp","Авторизация в приложении",""
"passed","Mon May 29 06:15:41 GMT 2023","Mon May 29 06:16:00 GMT 2023","19202","","tests.ui.SteamUiTest","","tests.ui.SteamUiTest","openSurvivalGames","Открытие раздела игр 'Выживание'",""
"broken","Mon May 29 06:14:03 GMT 2023","Mon May 29 06:14:03 GMT 2023","74","","tests.mobile.SteamMobileTest","","tests.mobile.SteamMobileTest","potentialBuyGames","Добавление игры в корзину",""
"passed","Mon May 29 06:14:00 GMT 2023","Mon May 29 06:14:01 GMT 2023","1017","","tests.api.SteamApiTest","","tests.api.SteamApiTest","openSurvivalGamesApi","Открытие раздела игр 'Выживание'",""
"broken","Mon May 29 06:14:03 GMT 2023","Mon May 29 06:14:03 GMT 2023","26","","tests.mobile.SteamMobileTest","","tests.mobile.SteamMobileTest","deleteGameCart","Удалить игру из корзины",""
"passed","Mon May 29 06:16:18 GMT 2023","Mon May 29 06:16:35 GMT 2023","16956","","tests.ui.SteamUiTest","","tests.ui.SteamUiTest","openSteamWorks","Открытие раздела SteamWorks",""
"passed","Mon May 29 06:14:26 GMT 2023","Mon May 29 06:14:42 GMT 2023","16217","","tests.ui.SteamUiTest","","tests.ui.SteamUiTest","checkCommunityActive","Рекомендации в Активности сообщества",""
"passed","Mon May 29 06:14:01 GMT 2023","Mon May 29 06:14:02 GMT 2023","246","","tests.api.SteamApiTest","","tests.api.SteamApiTest","potentialBuyGamesApi","Добавление игры в корзину",""
"passed","Mon May 29 06:14:02 GMT 2023","Mon May 29 06:14:02 GMT 2023","206","","tests.api.SteamApiTest","","tests.api.SteamApiTest","AccessGamesApi","Проверка доступа",""
